bitch,2
rt,3
bitches,4
like,5
hoes,6
pussy,7
hoe,8
got,9
ass,10
get,11
fuck,12
u,13
shit,14
nigga,15
trash,16
lol,17
know,18
niggas,19
one,20
love,21
na,22
go,23
fucking,24
yo,25
want,26
bad,27
man,28
good,29
ya,30
say,31
make,32
look,33
still,34
see,35
hate,36
back,37
im,38
think,39
need,40
never,41
time,42
gon,43
faggot,44
really,45
people,46
girl,47
let,48
real,49
right,50
would,51
even,52
lmao,53
bird,54
white,55
said,56
wan,57
dick,58
wit,59
day,60
bout,61
stop,62
damn,63
little,64
ta,65
tell,66
call,67
talk,68
come,69
2,70
da,71
life,72
n,73
cause,74
dont,75
new,76
take,77
dat,78
every,79
charlie,80
always,81
money,82
better,83
niggah,84
going,85
girls,86
lil,87
eat,88
ghetto,89
ever,90
give,91
dumb,92
retarded,93
yellow,94
fuckin,95
twitter,96
aint,97
ugly,98
talking,99
cunt,100
tho,101
ur,102
put,103
big,104
stupid,105
getting,106
yankees,107
nigger,108
yall,109
3,110
keep,111
birds,112
fat,113
hit,114
fag,115
yeah,116
much,117
black,118
today,119
way,120
feel,121
game,122
old,123
ho,124
1,125
mad,126
em,127
well,128
smh,129
oh,130
could,131
around,132
made,133
someone,134
cuz,135
boy,136
last,137
gone,138
best,139
play,140
side,141
something,142
called,143
us,144
happy,145
first,146
next,147
tryna,148
many,149
face,150
colored,151
another,152
shut,153
fucked,154
mean,155
work,156
monkey,157
night,158
sex,159
thing,160
school,161
nicca,162
crazy,163
baby,164
two,165
head,166
god,167
b,168
women,169
name,170
w,171
nothing,172
haha,173
looking,174
told,175
find,176
hell,177
broke,178
try,179
bro,180
5,181
start,182
gay,183
year,184
thats,185
beat,186
friends,187
show,188
bruh,189
4,190
high,191
seen,192
watch,193
stay,194
loyal,195
tonight,196
kill,197
house,198
done,199
swear,200
phone,201
ima,202
tweet,203
nah,204
trying,205
guys,206
dude,207
use,208
thought,209
cute,210
home,211
wrong,212
everybody,213
ask,214
hard,215
please,216
trust,217
already,218
turn,219
funny,220
pretty,221
might,222
act,223
wish,224
guy,225
wtf,226
fight,227
niccas,228
yes,229
makes,230
hot,231
long,232
free,233
mom,234
straight,235
nig,236
care,237
lot,238
sorry,239
world,240
hair,241
kids,242
days,243
buy,244
faggots,245
making,246
nobody,247
dis,248
retard,249
live,250
hope,251
bring,252
saying,253
fake,254
red,255
tf,256
sure,257
looks,258
went,259
wait,260
10,261
though,262
suck,263
car,264
woman,265
cut,266
anything,267
gets,268
hey,269
since,270
stfu,271
text,272
song,273
son,274
young,275
eating,276
pussies,277
away,278
ok,279
remember,280
jus,281
r,282
cool,283
bet,284
cant,285
full,286
lmfao,287
says,288
guess,289
everyone,290
throw,291
dem,292
playing,293
nigguh,294
job,295
sleep,296
probably,297
everything,298
nice,299
thanks,300
whole,301
great,302
single,303
die,304
type,305
weed,306
brownies,307
leave,308
basic,309
niggers,310
left,311
calling,312
men,313
half,314
ion,315
top,316
6,317
follow,318
yea,319
took,320
wife,321
word,322
pull,323
bc,324
wear,325
mouth,326
redneck,327
years,328
music,329
females,330
party,331
af,332
team,333
run,334
queer,335
yet,336
maybe,337
tweets,338
must,339
birthday,340
bae,341
things,342
dog,343
dead,344
used,345
either,346
watching,347
without,348
needs,349
pay,350
omg,351
believe,352
mind,353
wants,354
ex,355
wanted,356
miss,357
pic,358
outta,359
mock,360
else,361
lost,362
food,363
friend,364
okay,365
dyke,366
porn,367
iphone,368
line,369
actually,370
boys,371
person,372
fun,373
morning,374
thank,375
wow,376
win,377
stand,378
main,379
somebody,380
nasty,381
video,382
saw,383
via,384
class,385
idk,386
week,387
club,388
point,389
coming,390
smoke,391
gave,392
booty,393
tried,394
change,395
chill,396
came,397
fags,398
sick,399
ready,400
sit,401
body,402
racist,403
respect,404
also,405
reason,406
break,407
catch,408
place,409
0,410
rather,411
female,412
wearing,413
acting,414
goes,415
true,416
favorite,417
eyes,418
dirty,419
brown,420
girlfriend,421
gettin,422
obama,423
talkin,424
crackers,425
hear,426
pregnant,427
drunk,428
walk,429
ill,430
problem,431
tired,432
couple,433
fans,434
jihadi,435
lookin,436
light,437
move,438
naw,439
hurt,440
heard,441
end,442
comes,443
cold,444
chick,445
send,446
early,447
lie,448
dad,449
none,450
finna,451
ha,452
together,453
listen,454
flappy,455
heart,456
7,457
enough,458
outside,459
taking,460
yankee,461
boyfriend,462
oreo,463
wonder,464
fact,465
fine,466
nd,467
pass,468
cry,469
ppl,470
sound,471
bed,472
least,473
ratchet,474
cracker,475
water,476
imma,477
number,478
lame,479
thinking,480
rich,481
pick,482
self,483
games,484
anyone,485
sexy,486
cheat,487
pop,488
sad,489
sometimes,490
found,491
wet,492
open,493
front,494
ah,495
niggaz,496
yu,497
pics,498
literally,499
instagram,500
mine,501
giving,502
oreos,503
shoot,504
date,505
drop,506
meet,507
voice,508
check,509
relationship,510
means,511
may,512
tomorrow,513
smell,514
city,515
lose,516
coon,517
almost,518
9,519
serious,520
times,521
hand,522
thirsty,523
ago,524
understand,525
read,526
season,527
bye,528
america,529
kno,530
low,531
help,532
quit,533
family,534
thot,535
20,536
picture,537
hella,538
8,539
slap,540
dudes,541
lady,542
room,543
attention,544
killed,545
100,546
android,547
xxx,548
crying,549
quick,550
drive,551
kid,552
weak,553
annoying,554
ride,555
till,556
weekend,557
different,558
unless,559
redskins,560
instead,561
likes,562
g,563
started,564
sum,565
c,566
ipad,567
feelings,568
ate,569
uncle,570
mother,571
tranny,572
ball,573
hood,574
knows,575
bunch,576
words,577
state,578
skinny,579
business,580
post,581
cat,582
asked,583
k,584
nudes,585
hahaha,586
asian,587
drink,588
sole,589
shot,590
dress,591
truth,592
bag,593
telling,594
wake,595
movie,596
30,597
beautiful,598
forget,599
alone,600
ones,601
24,602
hold,603
nothin,604
slut,605
teabaggers,606
lying,607
whatever,608
everyday,609
running,610
round,611
lmaoo,612
later,613
perfect,614
soon,615
twat,616
teabagger,617
matter,618
anymore,619
set,620
using,621
worried,622
taste,623
negro,624
11,625
pictures,626
isis,627
kinda,628
cunts,629
weird,630
knew,631
blue,632
karma,633
brownie,634
